season,round,date,time,referee,home_team,away_team,result,home_score,away_score,home_gk_saves,away_gk_saves,home_penalties,away_penalties,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_on_target_from_penalty_area,away_shots_on_target_from_penalty_area,home_fouls,away_fouls,home_woodwork_hits,away_woodwork_hits,home_goal_chances,away_goal_chances,home_assists,away_assists,home_offsides,away_offsides,home_corner_kicks,away_corner_kicks,home_yel_cards,away_yel_cards,home_red_cards,away_red_cards,home_crosses,away_crosses,home_long_throws,away_long_throws,home_attacks_from_center,away_attacks_from_center,home_attacks_from_right,away_attacks_from_right,home_attacks_from_left,away_attacks_from_left
2005-06,9,2005-10-26,20:30,OBERDAN PANTANA,REGGINA,TREVISO,away,1,2,1,6,0,0,14,6,7,3,7,3,0,0,19,28,0,0,-,-,0,0,4,0,8,3,1,3,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,ANDREA DE,ASCOLI,UDINESE,draw,1,1,7,6,0,0,11,12,7,8,4,4,0,0,12,29,0,0,-,-,3,2,0,8,3,8,1,0,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,MATTEO SIMONE,EMPOLI,MILAN,away,1,3,3,3,0,0,7,16,5,6,2,10,0,0,13,11,1,0,-,-,2,3,0,0,5,10,0,1,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,DOMENICO MESSINA,PARMA,MESSINA,draw,1,1,7,5,0,0,14,13,6,7,8,6,0,0,15,19,0,0,-,-,4,0,1,2,4,2,1,4,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,NICOLA AYROLDI,LAZIO,CHIEVOVERONA,draw,2,2,1,5,1,0,13,6,7,3,6,3,0,0,21,29,0,0,-,-,3,3,4,2,12,2,1,3,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,MASSIMO DE,ROBUR SIENA,FIORENTINA,away,0,2,2,5,0,0,15,8,7,4,8,4,0,0,15,19,1,1,-,-,4,3,4,3,8,2,5,2,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,9,2005-10-26,20:30,ANTONIO DATTILO,JUVENTUS,SAMPDORIA,home,2,0,2,1,0,0,6,12,3,3,3,9,0,0,25,24,0,1,-,-,2,1,3,5,3,8,1,1,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,10,2005-10-29,20:30,PAOLO BERTINI,MILAN,JUVENTUS,home,3,1,3,2,0,0,9,4,5,4,4,0,0,0,23,27,0,0,-,-,0,1,5,2,4,3,3,4,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,10,2005-10-29,18:00,STEFANO FARINA,SAMPDORIA,INTER,draw,2,2,6,5,0,0,9,13,8,8,1,5,0,0,7,11,1,0,-,-,3,3,2,1,5,8,1,2,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,10,2005-10-30,15:00,MARIO MAZZOLENI,LECCE,MESSINA,away,0,2,3,6,0,0,14,9,7,5,7,4,0,0,25,24,1,0,-,-,0,0,0,2,5,3,2,4,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,10,2005-10-30,15:00,NICOLA STEFANINI,CHIEVOVERONA,EMPOLI,draw,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,2,1,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,10,2005-10-30,20:30,PASQUALE RODOMONTI,UDINESE,PALERMO,draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,2,2,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,10,2005-10-30,15:00,MARCO GABRIELE,FIORENTINA,CAGLIARI,home,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,3,2,0,1,-,-,-,-,-,-,-,-,-,-
2005-06,10,2005-10-30,15:00,NICOLA RIZZOLI,ROMA,ASCOLI,home,2,1,5,3,0,0,10,12,7,6,3,6,0,0,22,17,2,1,-,-,5,2,5,1,9,2,1,3,1,0,-,-,-,-,-,-,-,-,-,-
